Symbol,Company Name,Market Cap,Stock Price,Country,Beta (1Y),Options,Avg. Volume,Industry
NVDA,NVIDIA Corporation,4499934366673,184.86,United States,,Yes,161816441,Semiconductors
GOOG,Alphabet Inc.,3972000400229,329.14,United States,,Yes,19316799,Internet Content & Information
GOOGL,"Alphabet, Inc.",3965061512413,328.57,United States,,Yes,29384994,Internet Content & Information
AAPL,Apple Inc.,3832542658417,259.37,United States,,Yes,43028351,Consumer Electronics
MSFT,Microsoft Corporation,3562492932151,479.28,United States,,Yes,21845929,Software - Infrastructure
AMZN,"Amazon.com, Inc.",2643940414034,247.38,United States,,Yes,37828148,Internet Retail
META,"Meta Platforms, Inc.",1646093315855,653.06,United States,,Yes,13898700,Internet Content & Information
TSLA,"Tesla, Inc.",1433061946226,445.01,United States,,Yes,76259591,Auto Manufacturers
BRK.B,Berkshire Hathaway Inc.,1076725809152,499.10,,,Yes,4279804,Insurance - Diversified
LLY,Eli Lilly and Company,955380691232,1063.56,United States,,Yes,3004472,Drug Manufacturers - General
WMT,Walmart Inc.,913130651601,114.53,United States,,Yes,19186146,Discount Stores
JPM,JPMorgan Chase & Co.,896141524891,329.19,United States,,Yes,9096462,Banks - Diversified
V,Visa Inc.,678703793268,349.77,United States,,Yes,6159418,Credit Services
ORCL,Oracle Corporation,560626493171,198.52,United States,,Yes,30535982,Software - Infrastructure
XOM,Exxon Mobil Corporation,525543178817,124.61,United States,,Yes,16609855,Oil & Gas Integrated
MA,Mastercard Incorporated,516811452932,575.54,United States,,Yes,2819329,Credit Services
JNJ,Johnson & Johnson,492435825898,204.39,United States,,Yes,7484400,Drug Manufacturers - General
COST,Costco Wholesale Corporation,410525940846,924.88,United States,,Yes,3097051,Discount Stores
NFLX,"Netflix, Inc.",378893149651,89.46,United States,,Yes,38066802,Entertainment
BAC,Bank of America Corporation,407844863312,55.85,United States,,Yes,33735211,Banks - Diversified
ABBV,AbbVie Inc.,388929165998,220.08,United States,,Yes,5784442,Drug Manufacturers - General
HD,"The Home Depot, Inc.",372868652253,374.64,United States,,Yes,4222902,Home Improvement Retail
GE,GE Aerospace,339217605638,321.59,United States,,Yes,4585047,Aerospace & Defense
PG,The Procter & Gamble Company,331512388597,141.87,United States,,Yes,9593892,Household & Personal Products
AMD,"Advanced Micro Devices, Inc.",329748429311,203.17,United States,,Yes,27502837,Semiconductors
CVX,Chevron Corporation,324155198682,162.11,United States,,Yes,10151646,Oil & Gas Integrated
